,Date,Time,Calendar Assignment,Share with group,Event Title,Color,start,end,calendarEventID
0,8/1/2020,10:00 am - 12:00 pm,ec,ec,Operations Retreat,1,10:00 am,12:00 pm,4hfgod6622u2ogbm0g1ashgq1g
1,8/15/2020,10:00 am - 12:00 pm,ec,ec,Pre-kickoff EC meeting,1,10:00 am,12:00 pm,kr9gb3qr60dfvec0jaf1p8m55k
2,8/29/2020,10:00 am - 10:30 am,all,active,Welcome message,2,10:00 am,10:30 am,ppfab6o5kk71j4drfcqghb9rp8
3,8/29/2020,10:30 am - 11:30 am,"students2022, 2022mentors","students2022, 2022mentors",Junior mentoring orientation,8,10:30 am,11:30 am,mflfqgeflbsm4q7mj5lt2ni86g
4,8/29/2020,10:30 am - 11:30 am,"math-instructors, test-prepinstructors, wct-instructors","math-instructors, test-prepinstructors, wct-instructors",Instructor orientation,3,10:30 am,11:30 am,7rkmlpqekp6nnej3okg7s16m40
5,8/29/2020,10:30 am - 11:30 am,2023mentors,,New mentor orientation,3,10:30 am,11:30 am,diim2vfg9oqaj525vklnrdc3n0
6,8/29/2020,10:30 am - 11:30 am,students2023,,New student orientation,7,10:30 am,11:30 am,sjtaj9ld1eud06p20sn3294s6k
7,8/29/2020,10:30 am - 11:30 am,"students2021, 2021mentors, senior-enrichment-instructors",,Senior orientation,9,10:30 am,11:30 am,b6b2amv9mdppu7boq0d4kp6r98
8,9/12/2020,11 am - 2 pm,"ec, volunteers, students","ec, volunteers, students",Kickoff,2,11 am,2 pm,864t9sepq44t27g0ltcsruiqhg
9,9/19/2020,2:30 pm - 4 pm,ec,ec,EC Meeting,1,2:30 pm,4 pm,lal6ahfe5ct99ru1n80hncm2ss
10,9/19/2020,11 am - 12 pm,Math Matters,"math matters volunteers, sophomore class",Math Matters,3,11 am,12 pm,d9tb3snj251l2c8elkdsfisb3c
11,9/19/2020,10 am - 12 pm,Test prep,"test prep instructors, junior class",Test Prep,5,10 am,12 pm,gcei9o2dlmtqvahpsf6cojct4k
12,9/19/2020,10 am - 12 pm,Senior Enrichment,"SE instructors, senior class",Senior Enrichment,6,10 am,12 pm,n1qefl9ncee996l5e3opqfi2ik
13,9/19/2020,12 pm - 2 pm,Sophomore Mentoring,"sophomore mentors, sophomore class",Sophomore Mentoring,7,12 pm,2 pm,ul18pe89j4r3g90p3vp75mrbps
14,9/19/2020,12 pm - 2 pm,Junior Mentoring,"junior mentors, junior class",Junior Mentoring,8,12 pm,2 pm,kjmddio223gkv06n3vkmg7h8ic
15,9/19/2020,12 pm - 2 pm,Senior Mentoring,"senior mentors, senior class",Senior Mentoring,9,12 pm,2 pm,868pf96ldvhiheg60ct5l4c5tk
16,9/19/2020,10 am - 11 am,WCT,"WCT instructors, sophomore class",Writing and Critical Thinking,4,10 am,11 am,4m1ku7mse5n4i8ne2eagm87mms
17,9/26/2020,11 am - 12 pm,Math Matters,"math matters volunteers, sophomore class",Math Matters,3,11 am,12 pm,4mllc9rrr6t0hchuhqsu148ots
18,9/26/2020,10 am - 12 pm,Test prep,"test prep instructors, junior class",Test Prep,5,10 am,12 pm,dqam290q6iu2mtur8qj4so55f0
19,9/26/2020,10 am - 12 pm,Senior Enrichment,"SE instructors, senior class",Senior Enrichment,6,10 am,12 pm,g0n9tvaga3u9jcldorai8vrtvo
20,9/26/2020,12 pm - 2 pm,Sophomore Mentoring,"sophomore mentors, sophomore class",Sophomore Mentoring,7,12 pm,2 pm,vu7it3ogl1dvudll0ml2du11ps
21,9/26/2020,12 pm - 2 pm,Junior Mentoring,"junior mentors, junior class",Junior Mentoring,8,12 pm,2 pm,g7m5b86tcgm7datpl34nk86tho
22,9/26/2020,12 pm - 2 pm,Senior Mentoring,"senior mentors, senior class",Senior Mentoring,9,12 pm,2 pm,uadr6d78tab0k67hvpd0skpeik
23,9/26/2020,10 am - 11 am,WCT,"WCT instructors, sophomore class",Writing and Critical Thinking,4,10 am,11 am,4ktdga0b49opsdt52smc2lc7ec
24,10/3/2020,11 am - 12 pm,Math Matters,"math matters volunteers, sophomore class",Math Matters,3,11 am,12 pm,uu2tptj8nhifnll2ge5tueu1rg
25,10/3/2020,10 am - 12 pm,Test prep,"test prep instructors, junior class",Test Prep,5,10 am,12 pm,m0oj7jlvvv20todpovefaftm7o
